Date Received,Incident Date,Processing Time (Days),Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
05/21/2014,04/30/2014,21,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",42.79,Approve in Full
05/21/2014,05/03/2014,18,ORD,Chicago O'Hare International Airport,-,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses""",35,Approve in Full
05/21/2014,04/30/2014,21,LGB,Long Beach,Delta Air Lines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",39.5,Settle
05/15/2014,05/08/2014,7,JFK,John F. Kennedy International,Finnair,Property Damage,Checked Baggage,"""Musical Instruments & Accessories""",42.53,Approve in Full
05/28/2014,05/18/2014,10,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
05/28/2014,04/26/2014,32,BOS,Boston (Logan) International Airport ,American Airlines  ,Property Damage,Checked Baggage,"""Clothing""",150,Approve in Full
05/21/2014,04/30/2014,21,MMH,Mammoth Lakes ,Alaska Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
05/21/2014,05/18/2014,3,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Tools & Home Improvement Supplies""",74.29,Settle
05/21/2014,05/08/2014,13,BUR,Bob Hope ,Southwest Airlines  ,Property Damage,Checked Baggage,"""Sporting Equipment & Supplies""",54.98,Approve in Full
05/23/2014,05/10/2014,13,MCO,Orlando International Airport,Jet Blue,Property Damage,Checked Baggage,"""Baggage/Cases/Purses; Clothing""",0,Deny
05/23/2014,04/18/2014,35,SAT,San Antonio International,-,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
05/23/2014,03/01/2014,83,PHX,Phoenix Sky Harbor International,USAir  ,Property Damage,Checked Baggage,"""Computer & Accessories""",0,Deny
05/27/2014,05/17/2014,10,DAY,James M. Cox Dayton International,UAL  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
05/23/2014,03/31/2014,53,PSP,Palm Springs International,UAL  ,Property Damage,Checked Baggage,"""Sporting Equipment & Supplies""",99.99,Settle
05/23/2014,04/25/2014,28,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Currency""",0,Deny
05/27/2014,05/08/2014,19,ONT,Ontario International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Hunting & Fishing Items""",44.49,Settle
05/19/2014,05/05/2014,14,MCO,Orlando International Airport,USAir  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
05/21/2014,04/03/2014,48,JFK,John F. Kennedy International,Japan Airlines  ,Property Damage,Checked Baggage,"""Other""",0,Deny
05/21/2014,04/14/2014,37,TPA,Tampa International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses; Clothing; Cosmetics & Grooming""",0,Deny
05/22/2014,05/08/2014,14,BMI,Bloomington-Normal Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Other""",24.44,Approve in Full
05/21/2014,05/02/2014,19,LAX,Los Angeles International Airport ,Singapore Airlines  ,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",0,Deny
05/23/2014,04/26/2014,27,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Toys & Games""",15.6,Approve in Full
05/21/2014,05/13/2014,8,DFW,Dallas-Fort Worth International Airport ,British Airways  ,Property Damage,Checked Baggage,"""Computer & Accessories""",0,Deny
05/21/2014,04/19/2014,32,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",90.95,Approve in Full
05/21/2014,04/28/2014,23,FLL,Ft. Lauderdale-Hollywood International,UAL  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
05/20/2014,05/14/2014,6,CVG,Cincinnati/Northern Kentucky International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Other""",327.27,Approve in Full
05/21/2014,05/19/2014,2,LAX,Los Angeles International Airport ,Asiana Airlines,Property Damage,Checked Baggage,"""Clothing""",0,Deny
05/21/2014,05/07/2014,14,SAN,San Diego International,Southwest Airlines  ,Property Damage,Checked Baggage,"""Toys & Games""",0,Deny
05/19/2014,05/04/2014,15,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Property Damage,Checked Baggage,"""Computer & Accessories""",181.56,Settle
05/20/2014,04/26/2014,24,CMH,Port Columbus International,UAL  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",32.24,Approve in Full
05/21/2014,04/21/2014,30,EWR,Newark International Airport,Jet Blue,Passenger Property Loss,Checked Baggage,"""-""",200,Approve in Full
05/20/2014,05/12/2014,8,SRQ,Sarasota Bradenton International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Personal Accessories""",0,Deny
05/20/2014,05/16/2014,4,ATL,Hartsfield-Jackson Atlanta International Airport,Delta (Song),Passenger Property Loss,Checked Baggage,"""Sporting Equipment & Supplies""",0,Deny
05/23/2014,12/29/2012,510,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Other""",37.89,Approve in Full
05/21/2014,05/13/2014,8,OKC,Will Rogers World,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",0,Deny
05/23/2014,05/05/2014,18,EWR,Newark International Airport,UAL  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",96.29,Approve in Full
05/21/2014,05/18/2014,3,F,Foreign airport,British Airways  ,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
05/23/2014,05/05/2014,18,EWR,Newark International Airport,Porter Airlines,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
05/23/2014,04/13/2014,40,HOU,William P. Hobby,American Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses; Food & Drink""",0,Deny
05/23/2014,04/21/2014,32,JFK,John F. Kennedy International,Air India,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",21.99,Approve in Full
05/21/2014,05/03/2014,18,ORD,Chicago O'Hare International Airport,UAL  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
05/21/2014,04/30/2014,21,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
05/28/2014,03/12/2014,77,TUS,Tucson International,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",43.24,Approve in Full
05/27/2014,05/21/2014,6,IND,Indianapolis International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Food & Drink""",20,Approve in Full
05/23/2014,05/20/2014,3,MIA,Miami International Airport,American Airlines  ,Property Damage,Checked Baggage,"""Household Items""",0,Deny
05/28/2014,05/27/2014,1,F,Foreign airport,British Airways  ,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
05/28/2014,05/21/2014,7,LAS,McCarran International,Jet Blue,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
05/28/2014,04/09/2014,49,ANC,Ted Stevens Anchorage International Airport,Alaska Airlines  ,Property Damage,Checked Baggage,"""Home Decor""",125,Approve in Full
05/28/2014,03/30/2014,59,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Property Damage,Checked Baggage,"""Musical Instruments & Accessories""",0,Deny
05/22/2014,05/14/2014,8,JAN,Jackson International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",146.04,Settle
05/29/2014,05/16/2014,13,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Currency""",0,Deny
05/29/2014,05/23/2014,6,HNL,Honolulu International Airport,Hawaiian Airlines  ,Passenger Property Loss,Checked Baggage,"""Hunting & Fishing Items""",0,Deny
05/22/2014,05/21/2014,1,SAN,San Diego International,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",0,Deny
05/29/2014,05/21/2014,8,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
05/29/2014,05/20/2014,9,CMH,Port Columbus International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""-""",0,Deny
05/23/2014,04/25/2014,28,ONT,Ontario International,-,Passenger Property Loss,Checked Baggage,"""Cameras""",0,Deny
05/29/2014,05/18/2014,11,MKE,General Mitchell International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,"""Cameras""",0,Deny
05/29/2014,05/24/2014,5,BDL,Bradley International Airport,-,Passenger Property Loss,Checked Baggage,"""Tools & Home Improvement Supplies""",0,Deny
05/27/2014,05/17/2014,10,FAY,Fayetteville Regional,Delta Air Lines  ,Property Damage,Checked Baggage,"""Computer & Accessories""",0,Deny
05/27/2014,05/09/2014,18,HOU,William P. Hobby,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
05/26/2014,04/15/2014,41,KOA,Kona International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
05/24/2014,05/08/2014,16,JFK,John F. Kennedy International,Carribean Airlines,Property Damage,Checked Baggage,"""Other""",0,Deny
04/26/2014,04/10/2014,16,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",11.72,Approve in Full
05/27/2014,03/15/2014,73,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
05/27/2014,05/24/2014,3,PBI,Palm Beach International,Jet Blue,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
05/27/2014,05/09/2014,18,OAK,Metropolitan Oakland International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",0,Deny
05/26/2014,05/22/2014,4,LGA,LaGuardia ,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",0,Deny
05/27/2014,04/30/2014,27,LAS,McCarran International,Southwest Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
05/27/2014,05/21/2014,6,JFK,John F. Kennedy International,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
05/29/2014,05/05/2014,24,MHT,Manchester Regional Airport,Southwest Airlines  ,Property Damage,Checked Baggage,"""Sporting Equipment & Supplies""",100,Approve in Full
05/27/2014,03/22/2014,66,BWI,Baltimore/Washington Intl Thurgood Marshall,-,Property Damage,Checked Baggage,"""Clothing""",0,Deny
05/25/2014,05/20/2014,5,DEN,Denver International Airport ,USAir  ,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",0,Deny
05/29/2014,05/22/2014,7,LAX,Los Angeles International Airport ,Delta Air Lines  ,Property Damage,Checked Baggage,"""Other""",348.13,Approve in Full
05/28/2014,05/17/2014,11,JFK,John F. Kennedy International,Delta Air Lines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",103.09,Approve in Full
05/28/2014,05/04/2014,24,IAD,Washington Dulles International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
05/27/2014,05/17/2014,10,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checked Baggage,"""Personal Electronics""",0,Deny
05/25/2014,11/25/2013,181,PNS,Pensacola Regional,Southwest Airlines  ,Property Damage,Checked Baggage,"""Sporting Equipment & Supplies""",0,Deny
05/29/2014,05/15/2014,14,LAX,Los Angeles International Airport ,UAL  ,Property Damage,Checked Baggage,"""Other""",0,Deny
05/29/2014,05/19/2014,10,DCA,Ronald Reagan Washington National Airport,USAir  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",95.6,Approve in Full
05/29/2014,05/13/2014,16,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Personal Accessories""",0,Deny
05/29/2014,02/20/2014,98,LAX,Los Angeles International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",223.55,Settle
06/03/2014,05/06/2014,28,HOU,William P. Hobby,Southwest Airlines  ,Property Damage,Checked Baggage,"""Sporting Equipment & Supplies""",0,Deny
05/27/2014,04/21/2014,36,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses""",24.9,Approve in Full
05/28/2014,05/19/2014,9,MSP,Minneapolis/ St.Paul International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
05/30/2014,05/01/2014,29,SAN,San Diego International,UAL  ,Passenger Property Loss,Checked Baggage,"""Clothing""",395,Approve in Full
05/30/2014,05/14/2014,16,MIA,Miami International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Other""",30,Approve in Full
05/30/2014,03/24/2014,67,JFK,John F. Kennedy International,Emirates,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",414.5,Settle
05/25/2014,04/29/2014,26,TUS,Tucson International,American Airlines  ,Property Damage,Checked Baggage,"""Other""",22.98,Approve in Full
05/26/2014,05/21/2014,5,LAX,Los Angeles International Airport ,UAL  ,Property Damage,Checked Baggage,"""Other""",90,Approve in Full
05/30/2014,05/02/2014,28,PWM,Portland International Jetport,USAir  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
05/30/2014,05/02/2014,28,PWM,Portland International Jetport,USAir  ,Passenger Property Loss,Checked Baggage,"""Cameras""",0,Deny
05/30/2014,04/05/2014,55,LGA,LaGuardia ,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",0,Deny
05/30/2014,04/27/2014,33,IND,Indianapolis International,AirTran Airlines,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
05/20/2014,04/27/2014,23,IAD,Washington Dulles International,UAL  ,Property Damage,Checked Baggage,"""Other""",0,Deny
05/30/2014,05/13/2014,17,ANC,Ted Stevens Anchorage International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",0,Deny
05/30/2014,05/20/2014,10,MCO,Orlando International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",169.99,Settle
05/30/2014,05/28/2014,2,ORD,Chicago O'Hare International Airport,Lufthansa  ,Passenger Property Loss,Checked Baggage,"""Hunting & Fishing Items""",38.5,Approve in Full
05/28/2014,12/24/2013,155,JFK,John F. Kennedy International,Iberia Airlines,Property Damage,Checked Baggage,"""Clothing""",0,Deny
05/28/2014,05/14/2014,14,LAS,McCarran International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
05/27/2014,03/17/2014,71,BRO,Brownsville/South Padre International,American Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",192,Approve in Full
05/28/2014,04/24/2014,34,LAS,McCarran International,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",0,Deny
05/28/2014,05/17/2014,11,MCO,Orlando International Airport,Jet Blue,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",49.99,Approve in Full
05/27/2014,05/13/2014,14,SAV,Savannah International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",16.85,Approve in Full
05/27/2014,03/25/2014,63,ORD,Chicago O'Hare International Airport,Scandinavian Airlines Systems  ,Property Damage,Checked Baggage,"""Home Decor""",150,Settle
05/27/2014,04/22/2014,35,LAX,Los Angeles International Airport ,Virgin America,Passenger Property Loss,Checked Baggage,"""Clothing""",82.37,Approve in Full
05/27/2014,05/12/2014,15,F,Foreign airport,British Airways  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
05/29/2014,05/14/2014,15,BOS,Boston (Logan) International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",300,Settle
05/27/2014,05/12/2014,15,PWM,Portland International Jetport,Delta Air Lines  ,Property Damage,Checked Baggage,"""Computer & Accessories""",0,Deny
05/27/2014,05/11/2014,16,DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
06/01/2014,05/15/2014,17,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",14.5,Approve in Full
06/01/2014,05/30/2014,2,DEN,Denver International Airport ,UAL  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
05/30/2014,05/22/2014,8,HNL,Honolulu International Airport,Hawaiian Airlines  ,Property Damage,Checked Baggage,"""Sporting Equipment & Supplies""",272.25,Approve in Full
06/01/2014,05/25/2014,7,PSP,Palm Springs International,USAir  ,Passenger Property Loss,Checked Baggage,"""Tools & Home Improvement Supplies""",0,Deny
06/01/2014,05/25/2014,7,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
05/28/2014,05/15/2014,13,SHV,Shreveport Regional,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Food & Drink""",400,Approve in Full
05/29/2014,05/07/2014,22,SYR,Syracuse-Hancock International,American Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
05/30/2014,03/24/2014,67,LAX,Los Angeles International Airport ,Southwest Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
05/29/2014,05/07/2014,22,BOS,Boston (Logan) International Airport ,Air New Zealand,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",300,Settle
05/20/2014,05/19/2014,1,TUL,Tulsa International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",0,Deny
05/29/2014,05/20/2014,9,JFK,John F. Kennedy International,-,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",300,Settle
06/02/2014,04/14/2014,49,ATL,Hartsfield-Jackson Atlanta International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",500,Approve in Full
06/01/2014,05/27/2014,5,F,Foreign airport,British Airways  ,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",0,Deny
05/30/2014,05/06/2014,24,TUS,Tucson International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",0,Deny
06/03/2014,05/27/2014,7,BOS,Boston (Logan) International Airport ,American Airlines  ,Property Damage,Checked Baggage,"""-""",0,Deny
06/03/2014,02/19/2014,104,SJC,Norman Y Mineta San Jose International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""-""",0,Deny
06/03/2014,06/01/2014,2,ANC,Ted Stevens Anchorage International Airport,USAir  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
05/30/2014,05/16/2014,14,PDX,Portland International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",2.99,Approve in Full
06/02/2014,05/08/2014,25,HNL,Honolulu International Airport,Hawaiian Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",36,Approve in Full
06/02/2014,06/01/2014,1,MSY,New Orleans International,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Personal Accessories""",0,Deny
06/02/2014,05/22/2014,11,MIA,Miami International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",9.95,Approve in Full
05/30/2014,04/22/2014,38,TPA,Tampa International,UAL  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",10.69,Approve in Full
05/30/2014,05/23/2014,7,RDU,Raleigh-Durham International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Currency""",0,Deny
06/04/2014,02/08/2014,116,HXD,Hilton Head Island Airport,-,Passenger Property Loss,Checked Baggage,"""Food & Drink""",1.25,Approve in Full
06/04/2014,06/02/2014,2,DCA,Ronald Reagan Washington National Airport,USAir  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
06/04/2014,05/04/2014,31,LAS,McCarran International,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
06/04/2014,05/29/2014,6,JFK,John F. Kennedy International,Austrian Airlines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",47.6,Approve in Full
05/28/2014,01/14/2014,134,DEN,Denver International Airport ,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Cameras""",0,Deny
05/29/2014,04/14/2014,45,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",100,Approve in Full
06/04/2014,05/30/2014,5,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
06/04/2014,05/24/2014,11,JFK,John F. Kennedy International,UAL  ,Passenger Property Loss,Checked Baggage,"""Food & Drink""",0,Deny
05/28/2014,05/24/2014,4,MCO,Orlando International Airport,Sun Country Airlines Inc  ,Property Damage,Checked Baggage,"""Home Decor""",10,Approve in Full
06/09/2014,04/12/2014,58,MHK,Manhattan Regional,American Airlines  ,Passenger Property Loss,Checked Baggage,"""-""",13.99,Approve in Full
06/04/2014,05/26/2014,9,IAH,Houston - George Bush Intercontinental Airport,-,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
06/04/2014,05/27/2014,8,DCA,Ronald Reagan Washington National Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",15.89,Approve in Full
06/04/2014,06/01/2014,3,LIH,Lihue Airport,Delta Air Lines  ,Property Damage,Checked Baggage,"""Clothing""",0,Deny
06/04/2014,05/07/2014,28,HOU,William P. Hobby,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
06/04/2014,05/11/2014,24,PHL,Philadelphia International Airport,USAir  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
06/02/2014,05/16/2014,17,LGA,LaGuardia ,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
06/04/2014,05/10/2014,25,STL,Lambert St. Louis International,UAL  ,Passenger Property Loss,Checked Baggage,"""Clothing""",100.7,Approve in Full
06/02/2014,05/17/2014,16,ICT,Wichita Mid-Continent,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",24,Approve in Full
06/04/2014,05/31/2014,4,MSP,Minneapolis/ St.Paul International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,"""Clothing""",0,Deny
06/02/2014,05/15/2014,18,MOB,Mobile Regional,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
06/04/2014,10/27/2013,220,EWR,Newark International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
06/03/2014,06/22/2013,346,ALB,Albany International,UAL  ,Property Damage,Checked Baggage,"""-""",350,Approve in Full
06/04/2014,03/05/2014,91,SAN,San Diego International,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",0,Deny
06/04/2014,05/28/2014,7,ORD,Chicago O'Hare International Airport,UAL  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses; Baggage/Cases/Purses; Clothing""",0,Deny
05/29/2014,05/16/2014,13,PHX,Phoenix Sky Harbor International,USAir  ,Property Damage,Checked Baggage,"""Cosmetics & Grooming""",59.99,Approve in Full
06/05/2014,04/26/2014,40,PHX,Phoenix Sky Harbor International,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",10,Approve in Full
06/04/2014,04/26/2014,39,ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
06/04/2014,06/02/2014,2,MCO,Orlando International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
06/24/2014,05/25/2014,30,SAV,Savannah International,UAL  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",13,Approve in Full
06/05/2014,06/18/2013,352,BUR,Bob Hope ,Alaska Airlines  ,Property Damage,Checked Baggage,"""Other""",486.48,Approve in Full
06/10/2014,04/30/2014,41,RSW,Southwest Florida International,Delta Air Lines  ,Property Damage,Checked Baggage,"""Other""",79.99,Approve in Full
06/05/2014,05/12/2014,24,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",95,Settle
06/02/2014,05/26/2014,7,BUF,Buffalo Niagara International,Jet Blue,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",100,Approve in Full
06/05/2014,05/09/2014,27,RDU,Raleigh-Durham International,USAir  ,Passenger Property Loss,Checked Baggage,"""Clothing; Jewelry & Watches""",295.99,Approve in Full
06/05/2014,03/22/2014,75,ORD,Chicago O'Hare International Airport,UAL  ,Property Damage,Checked Baggage,"""Sporting Equipment & Supplies; Sporting Equipment & Supplies""",0,Deny
06/04/2014,05/21/2014,14,RDU,Raleigh-Durham International,American Airlines  ,Property Damage,Checked Baggage,"""Food & Drink""",40.3,Approve in Full
06/05/2014,05/25/2014,11,ORD,Chicago O'Hare International Airport,American Airlines  ,Property Damage,Checked Baggage,"""Household Items""",293.12,Approve in Full
06/05/2014,04/21/2014,45,MCO,Orlando International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",141.99,Approve in Full
06/02/2014,05/31/2014,2,LAS,McCarran International,UAL  ,Property Damage,Checked Baggage,"""Cameras""",0,Deny
06/02/2014,05/28/2014,5,MKE,General Mitchell International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,"""Sporting Equipment & Supplies""",190.83,Settle
06/05/2014,05/28/2014,8,F,Foreign airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
06/02/2014,05/18/2014,15,FLL,Ft. Lauderdale-Hollywood International,UAL  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
06/02/2014,05/27/2014,6,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checked Baggage,"""Sporting Equipment & Supplies""",0,Deny
06/04/2014,05/30/2014,5,ATL,Hartsfield-Jackson Atlanta International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Tools & Home Improvement Supplies""",0,Deny
06/05/2014,05/21/2014,15,SAN,San Diego International,Delta Air Lines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
06/05/2014,05/17/2014,19,SAN,San Diego International,Alaska Airlines  ,Property Damage,Checked Baggage,"""Other""",100,Settle
06/03/2014,05/20/2014,14,IFP,Laughlin/Bullhead International Airport,-,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",100,Approve in Full
06/03/2014,05/08/2014,26,JFK,John F. Kennedy International,American Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",125,Settle
06/05/2014,06/03/2014,2,DFW,Dallas-Fort Worth International Airport ,British Airways  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses; Travel Accessories""",0,Deny
05/29/2014,05/18/2014,11,JFK,John F. Kennedy International,Lufthansa  ,Passenger Property Loss,Checked Baggage,"""Clothing""",250,Approve in Full
06/06/2014,05/23/2014,14,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Clothing""",150,Approve in Full
06/06/2014,06/04/2014,2,HNL,Honolulu International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Cameras; Sporting Equipment & Supplies""",475,Settle
