Date Received,Incident Date,Processing Time (Days),Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
01/02/2014,12/17/2013,16,JFK,John F. Kennedy International,Virgin America,Passenger Property Loss,Checked Baggage,"""Food & Drink; Travel Accessories""",0,Deny
01/03/2014,12/31/2013,3,SAN,San Diego International,Alaska Airlines  ,Property Damage,Checked Baggage,"""Food & Drink""",0,Deny
01/03/2014,12/30/2013,4,MCO,Orlando International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",250,Settle
01/03/2014,12/30/2013,4,SMF,Sacramento International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",467.5,Settle
01/03/2014,12/09/2013,25,EWR,Newark International Airport,UAL  ,Property Damage,Checked Baggage,"""Home Decor""",0,Deny
01/03/2014,12/27/2013,7,OAK,Metropolitan Oakland International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches; Jewelry & Watches""",0,Deny
01/03/2014,01/01/2014,2,ORD,Chicago O'Hare International Airport,American Airlines  ,Property Damage,Checked Baggage,"""Outdoor Items""",46.22,Approve in Full
01/02/2014,12/19/2013,14,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",14.22,Approve in Full
01/03/2014,10/17/2013,78,PIT,Pittsburgh International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
01/06/2014,01/04/2014,2,JFK,John F. Kennedy International,Aeroflot Russian International,Passenger Property Loss,Checked Baggage,"""Computer & Accessories; Personal Electronics""",1074,Settle
01/03/2014,12/05/2013,29,ORD,Chicago O'Hare International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Cameras""",0,Deny
01/06/2014,12/23/2013,14,DEN,Denver International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
01/06/2014,10/22/2013,76,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",31.07,Approve in Full
01/07/2014,01/04/2014,3,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",0,Deny
01/06/2014,12/13/2013,24,CLT,Charlotte/Douglas International Airport,USAir  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
01/06/2014,01/01/2014,5,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses""",50,Approve in Full
01/06/2014,08/29/2013,130,ORD,Chicago O'Hare International Airport,Virgin America,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",392.37,Settle
01/06/2014,01/03/2014,3,IND,Indianapolis International,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Currency; Other""",0,Deny
01/07/2014,12/28/2013,10,LGA,LaGuardia ,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Other""",4,Approve in Full
01/03/2014,09/03/2013,122,SEA,Seattle-Tacoma International,Delta Air Lines  ,Property Damage,Checked Baggage,"""Other""",0,Deny
01/07/2014,11/23/2013,45,MCO,Orlando International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,"""Computer & Accessories""",0,Deny
01/03/2014,12/12/2013,22,HNL,Honolulu International Airport,Hawaiian Airlines  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
01/07/2014,01/04/2014,3,DEN,Denver International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
01/07/2014,12/29/2013,9,SAT,San Antonio International,American Airlines  ,Property Damage,Checked Baggage,"""Home Decor""",10.95,Approve in Full
01/06/2014,01/17/2013,354,MRY,Monterey Peninsula Airport,UAL  ,Property Damage,Checked Baggage,"""Other""",100,Settle
01/06/2014,01/02/2014,4,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
01/06/2014,12/17/2013,20,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
01/07/2014,12/21/2013,17,HNL,Honolulu International Airport,Hawaiian Airlines  ,Property Damage,Checked Baggage,"""Clothing""",250,Approve in Full
01/06/2014,12/28/2013,9,EWR,Newark International Airport,Aer Lingus,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
01/06/2014,12/27/2013,10,PSP,Palm Springs International,Sun Country Airlines Inc  ,Property Damage,Checked Baggage,"""Household Items""",84,Settle
01/07/2014,01/05/2014,2,TTN,Trenton-Mercer,Frontier Airlines,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
01/03/2014,12/22/2013,12,IAD,Washington Dulles International,UAL  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",0,Deny
01/07/2014,12/25/2013,13,PHL,Philadelphia International Airport,American Eagle  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",0,Deny
01/06/2014,12/25/2013,12,LAX,Los Angeles International Airport ,Air Canada,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",0,Deny
01/07/2014,12/30/2013,8,SFB,Orlando Sanford,Allegiant Air,Passenger Property Loss,Checked Baggage,"""Other""",83.48,Approve in Full
01/07/2014,12/10/2013,28,ORF,Norfolk International,Southwest Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",139.99,Approve in Full
01/07/2014,12/08/2013,30,OMA,Eppley Airfield,Southwest Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",269.4,Settle
01/07/2014,07/31/2013,160,LAX,Los Angeles International Airport ,Air Canada,Property Damage,Checked Baggage,"""Clothing""",35.39,Settle
01/07/2014,12/28/2013,10,MIA,Miami International Airport,American Airlines  ,Property Damage,Checked Baggage,"""Food & Drink""",0,Deny
01/07/2014,12/29/2013,9,BOS,Boston (Logan) International Airport ,American Airlines  ,Property Damage,Checked Baggage,"""Computer & Accessories""",0,Deny
01/07/2014,12/23/2013,15,SAT,San Antonio International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",0,Deny
01/07/2014,01/02/2014,5,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
01/06/2014,12/17/2013,20,SMF,Sacramento International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Food & Drink""",19.1,Approve in Full
01/07/2014,12/22/2013,16,JFK,John F. Kennedy International,-,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",35,Approve in Full
01/07/2014,12/27/2013,11,SAN,San Diego International,UAL  ,Passenger Property Loss,Checked Baggage,"""Other""",35.63,Approve in Full
01/06/2014,12/23/2013,14,CLT,Charlotte/Douglas International Airport,USAir  ,Passenger Property Loss,Checked Baggage,"""Clothing; Other""",0,Deny
01/07/2014,12/19/2013,19,PIT,Pittsburgh International Airport,Jet Blue,Passenger Property Loss,Checked Baggage,"""Hunting & Fishing Items""",0,Deny
01/07/2014,12/26/2013,12,RSW,Southwest Florida International,Spirit Airlines,Passenger Property Loss,Checked Baggage,"""Computer & Accessories""",0,Deny
01/07/2014,12/02/2013,36,MDT,Harrisburg International,UAL  ,Passenger Property Loss,Checked Baggage,"""Hunting & Fishing Items""",74.95,Approve in Full
01/06/2014,12/08/2013,29,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Property Damage,Checked Baggage,"""Other""",35.5,Settle
01/03/2014,11/03/2013,61,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Property Damage,Checked Baggage,"""Computer & Accessories""",0,Deny
01/07/2014,01/06/2014,1,SJC,Norman Y Mineta San Jose International,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
01/08/2014,12/29/2013,10,MCO,Orlando International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Toys & Games""",0,Deny
01/06/2014,12/25/2013,12,JFK,John F. Kennedy International,Aero Mexico,Passenger Property Loss,Checked Baggage,"""Clothing""",407.47,Settle
01/08/2014,10/12/2013,88,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checked Baggage,"""Clothing; Food & Drink""",469.71,Settle
01/06/2014,12/27/2013,10,MDW,Midway International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,"""Computer & Accessories""",0,Deny
